timestamp,soil_temp,soil_humidity,soil_ec,soil_ph,soil_n,soil_p,soil_k
2025-06-14 03:03:03,22.8,21.6,0.0,5.3,0.0,0.0,0.0
2025-06-14 09:03:03,23.4,21.5,0.0,5.3,0.0,0.0,0.0
2025-06-14 15:03:03,29.5,58.7,173.0,7.1,0.0,40.0,32.0
2025-06-14 21:03:03,24.1,52.6,137.0,6.4,0.0,23.0,15.0
2025-06-15 03:03:03,22.5,51.0,125.0,6.1,0.0,17.0,9.0
2025-06-15 09:03:03,22.5,50.0,120.0,6.0,0.0,15.0,7.0
2025-06-15 15:03:03,28.4,47.0,123.0,6.2,0.0,16.0,8.0
2025-06-15 21:03:03,23.9,39.4,58.0,5.8,0.0,0.0,0.0
2025-06-16 03:03:02,22.0,36.8,37.0,5.6,0.0,0.0,0.0
2025-06-16 09:03:03,20.8,34.7,18.0,5.3,0.0,0.0,0.0
2025-06-16 15:03:03,28.6,28.1,5.0,5.8,0.0,0.0,0.0
2025-06-16 21:03:03,22.6,24.4,0.0,5.2,0.0,0.0,0.0
2025-06-17 03:03:03,21.0,23.9,0.0,5.1,0.0,0.0,0.0
2025-06-17 09:03:03,21.2,23.6,0.0,5.0,0.0,0.0,0.0
2025-06-17 15:03:02,30.8,46.8,91.0,6.0,0.0,1.0,0.0
2025-06-17 21:03:02,24.6,44.5,51.0,5.8,0.0,0.0,0.0
2025-06-18 03:03:03,22.1,44.0,37.0,5.5,0.0,0.0,0.0
2025-06-18 09:03:03,22.0,43.4,35.0,5.5,0.0,0.0,0.0
2025-06-18 15:03:02,29.3,42.2,54.0,6.2,0.0,0.0,0.0
2025-06-18 21:03:03,24.2,31.7,0.0,5.7,0.0,0.0,0.0
2025-06-19 03:03:03,21.9,29.5,0.0,5.6,0.0,0.0,0.0
2025-06-19 09:03:02,21.2,27.8,0.0,5.6,0.0,0.0,0.0
2025-06-19 15:03:03,29.4,26.4,0.0,5.7,0.0,0.0,0.0
2025-06-19 21:03:03,24.8,24.1,0.0,5.6,0.0,0.0,0.0
2025-06-20 03:03:03,22.1,23.5,0.0,5.7,0.0,0.0,0.0
2025-06-20 09:03:02,22.0,23.3,0.0,5.6,0.0,0.0,0.0
2025-06-20 15:03:03,30.3,59.6,1.0,6.4,0.0,9.0,1.0
2025-06-20 21:03:03,25.5,53.1,0.0,5.8,0.0,0.0,0.0

